Symbol,Company Name,Sector,Previous Price,Predicted Price,Change ($),Change (%),New/Old Ratio,MSE,R2,Sentiment Score,Sentiment Validity,Relative_MSE
AAPL,Apple Inc.,Technology,223.8500061035156,226.81206,2.962051391601591,1.323230426999337,1.0132323042699931,23.41075134277344,0.8481947,0.6,0.6,0.046719816787021695
V,Visa Inc.,Financials,349.8599853515625,345.34152,-4.518463134765625,-1.2915061235783147,0.9870849387642168,78.14527130126953,0.054124117,0.7,0.9,0.06384312783435912
JNJ,Johnson & Johnson,Healthcare,163.1300048828125,162.20425,-0.925750732421875,-0.5674926161418957,0.994325073838581,12.136504173278809,-1.5745358,0.8,0.9,0.0456064125169557
PYPL,PayPal Holdings,Fintech,68.86000061035156,70.97763,2.1176300048828125,3.075268640884203,1.030752686408842,5.038738250732422,0.3932938,0.6,0.9,0.1062643901230923
JPM,JPMorgan Chase & Co.,Financials,248.1199951171875,249.89114,1.771148681640625,0.7138274691663236,1.0071382746916633,164.34043884277344,0.10282278,0.7,0.9,0.2669444613806364
WMT,Walmart Inc.,Consumer Staples,85.62999725341797,86.90145,1.271453857421875,1.4848229571455749,1.0148482295714558,34.160823822021484,-0.10701239,0.7,0.8,0.46588258378177105
TSLA,Tesla Inc.,Consumer Discretionary,273.1300048828125,272.615,-0.5150146484375,-0.1885602603999766,0.9981143973960004,1694.51904296875,-0.22066915,0.4,0.6,2.271473261122991
AMD,Advanced Micro Devices,Semiconductors,106.6500015258789,106.48102,-0.1689834594726562,-0.1584467482934371,0.9984155325170656,184.54725646972656,-4.914134,0.2,0.9,1.622504317890407
META,Meta Platforms (Facebook),Communication Services,602.5800170898438,622.11426,19.53424072265625,3.2417670962599683,1.0324176709625996,315.0673828125,0.7424881,0.6,0.5,0.08677087853471649
MSFT,Microsoft Corp.,Technology,390.5799865722656,394.38147,3.801483154296875,0.9732918441773564,1.0097329184417736,64.21192169189453,0.2668215,0.3,0.6,0.0420916252453227
T,AT&T Inc.,Telecom,28.200000762939453,27.677929,-0.5220718383789062,-1.85131852572506,0.9814868147427496,2.7961361408233643,-7.855837,0.6,0.7,0.35160907267324754
AMZN,Amazon.com Inc.,Consumer Discretionary,201.3600006103516,205.5376,4.177597045898409,2.0746906203990374,1.0207469062039904,36.36840438842773,0.5467369,0.6,0.9,0.08969698385097306
VZ,Verizon Communications,Telecom,44.959999084472656,45.189743,0.2297439575195312,0.5109963572016073,1.005109963572016,1.159791350364685,-0.25905764,0.5,0.8,0.057375605005888154
ADBE,Adobe Inc.,Software,396.1499938964844,404.1332,7.98321533203125,2.015200165348809,1.0201520016534882,463.9487609863281,0.31016397,0.65,0.8,0.29563150350682804
KO,Coca-Cola Co.,Consumer Staples,70.73999786376953,70.12415,-0.6158447265625,-0.8705749860898899,0.9912942501391012,0.7842437028884888,-0.34058964,0.2,0.9,0.015671874871440734
CRM,Salesforce Inc.,Cloud Computing,277.8099975585937,284.21924,6.409240722656307,2.307059061582013,1.0230705906158202,88.02517700195312,0.5402068,0.7,0.9,0.11405416929763233
PG,Procter & Gamble,Consumer Staples,168.7100067138672,167.40855,-1.30145263671875,-0.7714140151307199,0.9922858598486928,3.971181631088257,0.6763632,0.7,0.9,0.013952051335960863
PFE,Pfizer Inc.,Healthcare,25.01000022888184,24.795794,-0.2142066955566441,-0.8564841807129445,0.9914351581928704,0.1328213512897491,0.26019508,0.2,0.8,0.021234424879978425
GOOGL,Alphabet Inc. (Google),Technology,162.24000549316406,164.93526,2.69525146484375,1.661274268729801,1.016612742687298,12.650263786315918,0.70018667,0.7,0.9,0.04805999008854209
NVDA,NVIDIA Corp.,Semiconductors,111.43000030517578,115.24879,3.81878662109375,3.427072252207804,1.034270722522078,21.75239562988281,0.70174813,0.7,0.8,0.17518738504582093
